省份,政策序号,跟进时间,跟进政策,年完成度,政策覆盖,创新点,部门协同,类型分,得分
北京,1,15,5,15,15,10,3,0.6,37.8
北京,2,15,20,15,15,15,5,0.8,68
北京,3,15,20,15,15,15,5,1,85
北京,4,0,0,15,10,0,5,0.2,6
北京,5,5,10,15,15,15,5,1,65
北京,6,0,0,15,5,0,3,0.6,13.8
北京,7,0,0,15,5,0,5,0.2,5
北京,8,0,0,15,5,0,5,0.2,5
北京,9,0,0,15,5,0,5,0.2,5
北京,10,0,0,15,10,5,3,0.8,26.4
北京,11,10,20,15,15,5,5,0.6,42
北京,12,0,0,15,15,10,5,0.8,36
北京,13,10,10,15,15,5,5,0.6,36
北京,14,10,20,15,15,5,5,0.8,56
北京,15,0,0,15,5,5,0,0.4,10
北京,16,0,0,15,5,0,5,0.2,5
内蒙古,1,5,5,15,5,5,5,0.4,16
内蒙古,2,15,10,5,5,5,3,0.4,17.2
内蒙古,3,15,10,5,5,5,5,0.4,18
内蒙古,4,15,20,15,15,5,5,0.4,30
内蒙古,5,15,10,10,10,5,5,0.4,22
内蒙古,6,15,10,15,5,10,5,0.8,48
内蒙古,7,10,10,5,5,10,5,0.8,36
内蒙古,8,15,10,10,15,10,5,0.4,26
内蒙古,9,0,0,15,5,0,3,0.2,4.6
内蒙古,10,10,15,15,10,0,5,0.2,11
浙江,1,0,5,15,5,10,5,0.4,16
浙江,2,5,10,5,5,10,5,0.4,16
浙江,3,5,10,15,15,15,5,1,65
浙江,4,0,0,15,5,10,5,0.8,28
浙江,5,0,10,5,15,15,5,0.8,40
浙江,6,15,10,15,5,15,5,0.8,52
浙江,7,0,0,15,15,15,3,1,48
浙江,8,15,10,15,15,10,5,0.4,28
浙江,9,15,20,15,15,10,5,0.8,64
浙江,10,5,10,15,5,15,5,0.8,44
浙江,11,5,10,10,5,15,5,1,50
浙江,12,0,10,10,5,15,5,0.6,27
湖北,1,5,35,5,5,0,5,0.4,22
湖北,2,0,0,0,5,10,3,0.4,7.2
湖北,3,0,0,15,15,0,5,0.4,14
湖北,4,0,10,15,10,10,3,0.4,19.2
湖北,5,0,5,15,5,0,5,0.2,6
湖北,6,0,5,15,10,0,3,0.2,6.6
湖北,7,0,5,15,10,0,5,0.2,7
湖北,8,0,0,15,10,10,0,0.4,14
湖北,9,0,5,15,5,10,3,0.4,15.2
湖北,10,0,5,15,5,10,3,0.4,15.2
湖北,11,15,20,15,15,10,5,0.8,64
湖北,12,15,10,15,15,10,5,0.4,28
湖北,13,15,10,15,10,10,3,1,63
湖北,14,0,0,15,5,10,3,0.2,6.6
湖北,15,0,5,15,5,10,5,1,40
湖北,16,5,10,15,15,15,5,1,65
湖北,17,0,0,15,10,0,3,0.2,5.6
湖北,18,0,0,15,10,0,5,0.2,6
湖北,19,0,0,15,5,10,3,0.2,6.6
湖北,20,15,10,15,5,10,5,0.8,48
湖北,21,0,0,15,10,0,5,0.2,6
湖北,22,10,10,10,10,10,5,0.8,44
湖北,23,10,10,10,10,10,3,0.4,21.2
湖北,24,0,0,15,10,10,3,0.6,22.8
湖北,25,15,10,10,5,5,5,0.4,20
湖北,26,10,10,10,15,5,5,0.4,22
福建,1,0,0,15,10,5,0,0.6,18
福建,2,0,0,15,5,0,5,0.4,10
福建,3,15,5,15,15,5,3,0.6,34.8
福建,4,0,0,15,15,15,3,1,48
福建,5,0,5,15,10,5,0,0.4,14
福建,6,0,10,15,15,5,0,0.2,9
福建,7,15,10,15,15,15,5,1,75
福建,8,15,20,15,10,5,5,0.4,28
福建,9,15,10,15,10,5,3,0.4,23.2
福建,10,0,0,15,5,5,5,0.4,12
福建,11,5,10,15,5,10,3,0.4,19.2
福建,12,15,10,15,15,10,5,0.4,28
福建,13,5,5,15,10,10,5,0.4,20
福建,14,0,10,15,10,5,3,0.4,17.2
福建,15,0,0,15,5,0,3,0.2,4.6
福建,16,10,20,15,5,15,3,0.8,54.4
福建,17,15,10,15,5,10,5,0.8,48
福建,18,0,0,15,15,15,3,1,48
福建,19,0,0,15,5,0,5,0.2,5
福建,20,10,20,15,15,10,5,0.8,60
福建,21,0,10,15,10,5,3,0.4,17.2
福建,22,15,10,15,15,5,5,0.4,26
福建,23,10,20,15,15,10,5,0.4,30
云南,1,5,10,15,15,15,5,1,65
云南,2,5,10,15,5,10,5,0.8,40
